S142C	2022-10-04 19:42:55
value unit [W]	time unit [ms]
wavelength	405.000nm
range	AUTO
-9.701207E-07	215
-3.655915E-07	515
5.649616E-08	815
-2.062183E-07	1115
-1.376301E-07	1415
-2.193713E-07	1715
-4.500856E-08	2015
-1.057920E-07	2315
1.846050E-08	2615
6.076576E-08	2915
9.118042E-08	3215
-1.808304E-07	3515
5.624399E-08	3815
3.606701E-08	4115
1.053896E-07	4415
-5.907940E-08	4715
-3.524614E-07	5015
-1.859035E-07	5315
4.052675E-07	5615
3.044742E-07	5915
1.526756E-07	6215
9.331537E-08	6515
1.354138E-07	6818
8.851767E-08	7118
3.911971E-08	7418
-5.503632E-09	7718
3.528635E-08	8018
-2.960616E-08	8318
-6.135215E-08	8618
4.568494E-08	8918
1.356206E-07	9218
6.797346E-08	9518
-3.355441E-08	9818
7.091170E-08	10118
5.204312E-08	10418
3.076440E-08	10718
6.186755E-08	11018
9.763063E-08	11318
5.957218E-08	11618
1.129988E-09	11918
2.534726E-08	12218
-1.828959E-08	12518
6.310702E-08	12818
3.452868E-08	13118
1.768024E-08	13418
6.020134E-10	13718
-6.148974E-08	14018
-5.754160E-08	14318
-1.629266E-08	14620
-3.275084E-08	14921
5.782736E-08	15221
1.145960E-08	15521
1.145253E-07	15821
-1.500723E-08	16120
8.360908E-09	16421
6.340657E-09	16721
5.103321E-08	17021
1.827692E-08	17321
2.745911E-08	17621
-6.064048E-08	17920
4.818700E-08	18221
4.981650E-08	18521
-3.757125E-08	18821
3.889033E-08	19121
-3.070604E-09	19421
-3.874217E-08	19720
3.179721E-08	20021
4.749800E-08	20321
6.067398E-08	20621
3.960188E-08	20921
5.229555E-08	21221
4.917493E-09	21521
-3.949972E-08	21820
1.234775E-07	22123
-2.125070E-08	22423
-6.421831E-09	22723
6.418589E-08	23023
-7.295188E-10	23323
-4.663818E-08	23623
-1.058152E-07	23923
8.466134E-08	24223
2.371761E-08	24523
-3.970613E-08	24823
1.410608E-07	25123
-7.627241E-08	25423
1.249242E-08	25723
6.542561E-08	26023
6.840987E-08	26323
-6.238813E-09	26623
-4.849755E-08	26923
-9.451782E-09	27223
-6.109936E-08	27523
3.962484E-08	27823
5.810323E-08	28123
-1.851882E-08	28423
2.996092E-08	28723
-2.297207E-08	29023
-2.274290E-08	29323
-6.991408E-08	29628
-3.061618E-08	29927
9.724046E-08	30228
1.772556E-09	30528
3.597500E-08	30828
5.537329E-09	31143
2.447475E-08	31446
1.152850E-08	31746
-7.200282E-08	32046
-2.967492E-08	32346
-6.828449E-08	32646
9.662076E-08	32946
8.682036E-09	33246
-2.997341E-08	33546
6.459936E-08	33846
-1.629253E-08	34146
8.200034E-09	34446
8.640604E-08	34746
8.046089E-08	35046
6.480582E-08	35346
5.066596E-08	35646
1.657834E-08	35946
-6.146379E-09	36246
1.015094E-08	36546
-2.274288E-08	36846
-9.658613E-09	37149
-2.485441E-08	37449
-3.011093E-08	37748
7.049848E-08	38049
-2.063077E-08	38348
2.918049E-08	38649
1.429547E-10	38949
-3.706634E-08	39249
4.038242E-08	39549
-1.695807E-08	39849
-2.999619E-08	40148
-3.789248E-08	40449
-3.858112E-08	40748
1.083505E-07	41049
-3.167199E-08	41348
-3.001940E-08	41648
4.045347E-09	41949
-4.677670E-09	42249
1.655551E-08	42549
2.516315E-08	42849
-2.164106E-08	43149
-9.816657E-10	43448
2.622216E-09	43749
-3.353127E-08	44049
1.586664E-08	44349
-5.939909E-09	44651
-1.826668E-08	44951
8.776035E-08	45251
3.976447E-09	45551
3.730621E-08	45851
-2.141125E-08	46151
1.281388E-08	46451
-8.304418E-08	46751
-5.054063E-08	47051
-6.128333E-08	47351
-7.712215E-08	47651
1.685405E-08	47951
-1.305593E-08	48251
-1.856473E-08	48551
-4.195578E-08	48851
-2.864206E-08	49151
9.721765E-08	49451
2.759557E-09	49751
-5.919436E-08	50051
-5.699076E-08	50351
-4.826811E-08	50651
-2.613993E-08	50951
-5.322627E-08	51251
5.376468E-08	51551
-3.399039E-08	51851
-6.220147E-08	52153
4.967900E-08	52454
4.127752E-08	52754
2.497977E-08	53054
-4.627093E-08	53354
2.472729E-08	53654
-7.982058E-10	53953
1.155137E-08	54254
-1.936835E-08	54553
9.577046E-09	54854
-3.855840E-08	55154
8.523523E-08	55454
2.394693E-08	55754
2.160550E-08	56054
2.516343E-08	56354
3.973963E-08	56654
1.896590E-08	56954
3.443690E-08	57254
-1.085463E-07	57553
8.502860E-08	57854
7.091170E-08	58154
-1.096679E-08	58454
1.221703E-08	58754
2.890483E-08	59054
1.683099E-08	59354
-3.897188E-09	59656
-1.319345E-08	59956
3.445994E-08	60256
-4.884123E-09	60556
-2.499242E-08	60856
-4.819901E-08	61169
-7.914042E-09	61469
-5.708261E-08	61769
-6.123599E-09	62070
3.535510E-08	62370
2.369432E-08	62670
6.020625E-10	62970
-2.655324E-08	63269
7.529629E-08	63570
1.540989E-07	63870
-5.001256E-08	64169
1.196446E-08	64470
-1.578723E-08	64769
-5.389165E-08	65069
9.859512E-08	65370
-8.816309E-08	65670
2.732118E-08	65970
-6.904145E-09	66270
3.815569E-08	66570
-3.917791E-08	66870
7.850981E-08	67172
-4.062446E-08	67472
-6.722864E-08	67772
-6.490845E-09	68072
-1.174714E-08	68372
4.458369E-09	68672
5.107908E-08	68972
9.682758E-08	69272
1.052058E-07	69572
7.277106E-08	69872
1.549954E-08	70172
2.683906E-08	70472
-1.020952E-08	70772
2.321229E-08	71072
-4.475604E-08	71372
-4.815060E-09	71672
1.343581E-07	71972
-2.221190E-09	72272
-7.799367E-09	72572
-5.063254E-08	72872
8.059854E-08	73172
2.713736E-08	73472
-6.892717E-08	73772
5.798830E-08	74072
3.140707E-08	74372
4.031338E-08	74675
-8.579859E-08	74975
-3.784660E-08	75275
3.333749E-09	75575
-2.028665E-08	75875
4.019878E-08	76175
1.724408E-08	76475
1.740476E-08	76775
3.273831E-08	77075
-4.516532E-09	77375
-3.495450E-08	77675
3.263163E-10	77975
4.091022E-08	78275
-7.891196E-09	78575
-3.945351E-08	78875
1.607355E-08	79175
-3.261278E-08	79475
2.192669E-08	79775
6.820351E-08	80075
9.285615E-08	80375
7.993351E-09	80675
1.134484E-08	80975
-1.865677E-08	81275
2.803294E-08	81575
-7.131439E-08	81875
2.273002E-08	82178
-2.090619E-08	82477
2.851482E-08	82778
8.383821E-09	83078
4.623561E-08	83378
2.277627E-08	83678
-9.383128E-09	83977
-1.234440E-07	84277
1.033006E-07	84578
5.408607E-08	84878
-8.903532E-08	85178
-1.601680E-08	85477
5.016089E-08	85778
-4.168023E-08	86077
-4.195538E-08	86377
7.658172E-08	86678
-6.146689E-08	86977
-1.307884E-08	87277
4.061194E-08	87578
7.789006E-08	87878
-5.262915E-08	88178
1.116113E-08	88478
-5.542973E-08	88777
3.856897E-08	89078
-4.069301E-08	89377
-1.968699E-09	89680
-6.936348E-08	89980
4.965561E-08	90280
